Tender ID,Name,Customer,Stage,Status,inserted Time,Inserted User ID
GEM_2024_B_5435798,"Camera,Bullet Camera,LED TV,NVR,HDD,Giga Switch,PJB,Fiber Cable,Cable,Rack,Switch,Splicing,Electric",Ministry of Defence Department of Military Affairs,rejected,,30-10-2024 05:07:25,GEM BOT
GEM_2024_B_5436366,"Elecric Bells and Accessories as per IS 2268,modular electrical switches and accessories,modular el",Ministry of Defence Department of Military Affairs,rejected,,09-11-2024 05:10:13,GEM BOT
GEM_2024_B_5436470,"Professional Large Format Display,Supply and Installation of Pole / Mast Suitable for CCTV System (",Ministry of Defence Department of Military Affairs,rejected,,31-10-2024 13:06:41,GEM BOT
GEM_2024_B_5440364,Pre audit survey of the entire electrical distribution networks starting from main receivign statio,Ministry of Defence Department of Military Affairs,rejected,,08-11-2024 13:17:50,GEM BOT
GEM_2024_B_5440480,Pre audit survey of the entire electrical distribution networks starting from main receiving statio,Ministry of Defence Department of Military Affairs,rejected,,08-11-2024 13:17:33,GEM BOT
GEM_2024_B_5440562,Pre audit survey of the entire electrical distribution networks starting from main receiving statio,Ministry of Defence Department of Military Affairs,rejected,,08-11-2024 13:16:59,GEM BOT
GEM_2024_B_5440783,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,16-10-2024 05:12:35,GEM BOT
GEM_2024_B_5441026,DRONE WITH DAY AND NIGHT PAYLOAD,Ministry of Defence Department of Military Affairs,rejected,New-Corrigendum,19-10-2024 05:03:19,GEM BOT
GEM_2024_B_5441636,Annual Maintenance Contract for Networking Devices (Version 2) - Firewall and Log Analyzer; Fortine,Department of Space Department of Space,rejected,,06-11-2024 05:08:47,GEM BOT
GEM_2024_B_5441907,Custom Bid for Services - Supply Erection Testing and commissioning of CCTV cameras in the compound,Ministry of Railways Indian Railways,rejected,,26-10-2024 13:04:15,GEM BOT
GEM_2024_B_5442231,"Agent Consoles,1KVA UPS with 30 min backup,Switch 08 Ports,IP Phone,Handset,6U Racks with all acces",Ministry of Defence Department of Military Affairs,rejected,,13-11-2024 05:17:45,GEM BOT
GEM_2024_B_5442342,"Server,Networking / Server Rack",Ministry of Defence Department of Military Affairs,rejected,,08-11-2024 05:19:51,GEM BOT
GEM_2024_B_5442655,8411954994 DCS/PLC NETWORK SWTICH,Ministry of Petroleum and Natural Gas CHENNAI PETROLEUM Corporation Limited,rejected,New-Corrigendum,03-10-2024 14:34:39,GEM BOT
GEM_2024_B_5442688,"IP Camera,Network Video Recorder",PMO Department of Atomic Energy,rejected,,25-10-2024 13:03:35,GEM BOT
GEM_2024_B_5442813,"Camera for CCTV System (V2),Camera for CCTV System (V2),Video Recorder for CCTV System (V2),Televis",Home Department Odisha,rejected,New-Corrigendum,09-10-2024 05:01:54,GEM BOT
GEM_2024_B_5442834,"MS wire,MS wire,MS wire,FT switch,Ft socket,SS combined,Capacitor,Capacitor,Capacitor,Capacitor,Cap",Ministry of Home Affairs Central Armed Police Forces,rejected,New-Corrigendum,03-10-2024 15:59:55,GEM BOT
GEM_2024_B_5444050,Custom Bid for Services - Comprehensive AMC of Computer systems peripherals and LAN equipment etc a,Ministry of Statistics and Programme Implementation Department of Statistics and Programme Implementation,rejected,,30-10-2024 05:11:18,GEM BOT
GEM_2024_B_5444073,Laparoscopic Surgery set with High Definition camera,Ministry of Health and Family Welfare Department of Health and Family Welfare,rejected,New-Corrigendum,03-10-2024 13:55:07,GEM BOT
GEM_2024_B_5445223,"IR Camera CP Plus,NVR 8 Channel CP Plus,HDD 2 TB,Cat 6 Outdoor Cable 305 Mtr,Adaptor,POE Switch,Rac",Ministry of Defence Department of Defence,rejected,New-Corrigendum,03-10-2024 13:43:34,GEM BOT
GEM_2024_B_5446327,Digital Fundus Camera,Ministry of Health and Family Welfare Department of Health and Family Welfare,rejected,New-Corrigendum,03-10-2024 13:38:36,GEM BOT
GEM_2024_B_5446352,"FLOW SWITCH MODEL NOBGM- 100-L051-F-2-TN-2-DDA WITH SETPOINT 300 LPM,FLOW SWITCH MODEL NOBGM- 100-L",PMO Department of Atomic Energy,rejected,New-Corrigendum,18-10-2024 13:15:53,GEM BOT
GEM_2024_B_5447061,Cluster Outsourcing for Maintenance of Landline and Broadband network – OFC Network - Optical Fib,Ministry of Communications Department of Telecommunications (DOT),rejected,New-Corrigendum,10-10-2024 13:12:30,GEM BOT
GEM_2024_B_5447951,Reed Switch,PMO Department of Atomic Energy,rejected,New-Corrigendum,08-10-2024 05:57:42,GEM BOT
GEM_2024_B_5448213,"MATERIAL FOR REPLACEMENT OF FEED MOTORS, FEED DRIVES, TABLE DRIVE, PLC AND SWITCHGEARS ON RUSSIAN D",Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,rejected,New-Corrigendum,03-10-2024 16:15:52,GEM BOT
GEM_2024_B_5449071,Unmanned Aerial Vehicle & Payload Systems for Surveillance,Police Department Uttarakhand,rejected,New-Corrigendum,03-10-2024 15:06:51,GEM BOT
GEM_2024_B_5449215,"Desktop Computers,All in One PC,Layer 2 Access Switch (V2),Layer 2 Access Switch (V2),Networking / ",Ministry of Defence Department of Military Affairs,rejected,,08-11-2024 13:14:57,GEM BOT
