tender_id,name_of_work,customer,inserted_time,inserted_user_id,verification_1,done
2024_DHFW_116122_1,Biometric Machines and Web Cameras,Department of Health and Family Welfare||Punjab Health System Corporation||Medical Wing,20-01-2024 08:10:08,PBTenders GOV NICGEP BOT,rejected,
2024_DJB_252437_5,Replacement of old damaged water line to up gradation water distribution network under 300 mm dia for Ward No. 22E in AC-60 Krishna Nagar under ACE (M)-1.,Delhi Jal Board||Delhi Jal Board||EE (T-2) M-1,24-01-2024 03:42:49,DelhiTenders GOV NICGEP BOT,rejected,
2024_DLA_14805_1,Improvements to the lane adjacent to Uralkulam Street in Kirumampakkam in Embalam Constituency,Department of Local Administration||Bahour Commune Panchayat-DLA,23-01-2024 08:00:23,PuducherryTenders GOV NICGEP BOT,rejected,
2024_DLA_14859_1,Providing RCC slabs to the damaged portion of U drain running from Railway line to Uppar canal and improvements to cross Lanes at Rasu Udayar thottam in Uppalam Constituency,Department of Local Administration||Puducherry Municipality-DLA,20-01-2024 08:00:40,PuducherryTenders GOV NICGEP BOT,rejected,
2024_DLB_378381_5,"Wire Fencing work in Municipal Land, Properties in Municipal Area Tonk",DLB||Dy.DR-Ajmer||EO-Uniyara,20-01-2024 03:50:52,Eproc Rajasthan GOV BOT,rejected,
2024_DLG_114993_34,Installation of new CCTV Cameras on Various new Location at MC Rajpura,Department of Local Government||Director - Local Government||ADC (UD) - Patiala||Municipal Council - Rajpura,07-01-2024 08:10:35,PBTenders GOV NICGEP BOT,rejected,Open
2024_DLG_116027_1,GIS Based Mapping of Properties using Drone Images and Installation of Property UID Plates,Department of Local Government||Director - Local Government||Regional Deputy Director - Amritsar||Municipal Council - Dina Nagar,20-01-2024 08:29:22,PBTenders GOV NICGEP BOT,rejected,
2024_DLG_116099_1,Rough cost estimate for CCTV Survey of Main outfall storm water drainage system within jurisdiction of MC S.A.S Nagar.,Department of Local Government||Director - Local Government||Municipal Corporation - S.A.S Nagar,21-01-2024 08:10:42,PBTenders GOV NICGEP BOT,rejected,Open
2024_DLG_116151_2,Supply and fixing of 5 NO. LED street light set (30 watt) near residence 0f Manpreet Singh Son Of Manjit Singh at Lane No. 2 Punia Colony (Block Sangrur ),Department of Local Government||Director - Local Government||ADC (UD) - Sangrur||Municipal Council - Sangrur,23-01-2024 08:11:39,PBTenders GOV NICGEP BOT,rejected,
2024_DLG_116157_3,Construction of boundary wall fencing for the MC land in different area of city,Department of Local Government||Director - Local Government||ADC (UD) - Sangrur||Municipal Council - Sangrur,26-01-2024 08:19:34,PBTenders GOV NICGEP BOT,rejected,
